controller,error_provider,route_shape,route_min_length_m,route_length_tolerance,noise_lateral_std,noise_heading_std_deg,time,x,y,speed,speed_error,e_y,e_psi,abs_e_y,abs_e_psi,steer,steer_delta,throttle,brake,target_speed,route_index,closest_route_index,route_error,road_option,target_x,target_y,target_yaw,lqr_q_ey,lqr_q_ey_dot,lqr_q_epsi,lqr_q_epsi_dot,lqr_r,lqr_kp_long,lqr_ki_long,lqr_kd_long,lqr_max_steer,lqr_max_steer_rate,pid_lat_kp,pid_lat_ki,pid_lat_kd,pid_long_kp,pid_long_ki,pid_long_kd
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.250461999326944,105.17759704589844,97.28370666503906,13.03285253450288,0.8560363543860099,-0.5129038024080478,0.10079518777926477,0.5129038024080478,0.10079518777926477,-0.04302272945642471,0.19999999552965164,0.619752049446106,0.0,13.88888888888889,366,361,5.042133808135986,RoadOption.STRAIGHT,105.7709732055664,87.26860046386719,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.300462000072,105.2276840209961,96.6332015991211,13.07687769497909,0.8120111939097985,-0.4688124520301323,0.07050652406957525,0.4688124520301323,0.07050652406957525,0.12492915242910385,0.16795188188552856,0.4843765199184418,0.0,13.88888888888889,367,361,4.390143394470215,RoadOption.STRAIGHT,105.77779388427734,86.26862335205078,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.35046200081706,105.27957153320312,95.98050689697266,13.09805047362836,0.790838415260529,-0.43198099890369496,0.059326573813422545,0.43198099890369496,0.059326573813422545,0.027065575122833252,-0.0978635773062706,0.49909570813179016,0.0,13.88888888888889,368,362,4.734808921813965,RoadOption.STRAIGHT,105.78461456298828,85.26864624023438,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.40046200156212,105.33407592773438,95.32695770263672,13.128357190418443,0.7605316984704462,-0.381935833225812,0.05864906563210637,0.381935833225812,0.05864906563210637,-0.13600799441337585,-0.1630735695362091,0.46995094418525696,0.0,13.88888888888889,368,363,5.075546741485596,RoadOption.STRAIGHT,105.78461456298828,85.26864624023438,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.45046200230718,105.37939453125,94.67208099365234,13.121403700605866,0.7674851882830236,-0.34108439215927994,0.05458255180561,0.34108439215927994,0.05458255180561,-0.08990464359521866,0.046103350818157196,0.5188353061676025,0.0,13.88888888888889,369,363,4.419168472290039,RoadOption.STRAIGHT,105.79143524169922,84.26866912841797,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.500462003052235,105.41120147705078,94.01680755615234,13.124052715371517,0.7648361735173719,-0.31374032914041855,0.04229645759069278,0.31374032914041855,0.04229645759069278,0.05676401033997536,0.14666865393519402,0.5057228803634644,0.0,13.88888888888889,370,364,4.760852336883545,RoadOption.STRAIGHT,105.79825592041016,83.26869201660156,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.55046200379729,105.44086456298828,93.3609619140625,13.132561638472746,0.7563272504161436,-0.2885515556197079,0.03449872191894077,0.2885515556197079,0.03449872191894077,0.046099308878183365,-0.010664701461791992,0.49358564615249634,0.0,13.88888888888889,370,365,5.102636337280273,RoadOption.STRAIGHT,105.79825592041016,83.26869201660156,-1.5639765038754216,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.60046200454235,105.47511291503906,92.70491790771484,13.14304972453532,0.7458391643535691,-0.2587780692800075,0.035869584090058915,0.2587780692800075,0.035869584090058915,-0.0702175572514534,-0.11631686612963676,0.4849177896976471,0.0,13.88888888888889,371,365,4.445746898651123,RoadOption.STRAIGHT,105.80506896972656,82.26871490478516,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.65046200528741,105.50515747070312,92.04845428466797,13.141189945085987,0.7476989438029022,-0.23321204939180062,0.03522416699987829,0.23321204939180062,0.03522416699987829,-0.056598126888275146,0.013619430363178253,0.5008510947227478,0.0,13.88888888888889,372,366,4.7872395515441895,RoadOption.STRAIGHT,105.8118896484375,81.26873779296875,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.70046200603247,105.52693176269531,91.39170837402344,13.144222250687111,0.7446666382017781,-0.2159180259878013,0.028243489150562517,0.2159180259878013,0.028243489150562517,0.04007522761821747,0.09667335450649261,0.4931612014770508,0.0,13.88888888888889,372,367,5.129223823547363,RoadOption.STRAIGHT,105.8118896484375,81.26873779296875,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.750462006777525,105.54883575439453,90.73473358154297,13.147679705126716,0.741209183762173,-0.19849496068016653,0.024700685952430135,0.19849496068016653,0.024700685952430135,0.015579059720039368,-0.0244961678981781,0.4905765652656555,0.0,13.88888888888889,373,367,4.471975803375244,RoadOption.STRAIGHT,105.81871032714844,80.26876068115234,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.80046200752258,105.57310485839844,90.07759857177734,13.154262812850416,0.7346260760384737,-0.1787088368475921,0.0254732689846624,0.1787088368475921,0.0254732689846624,-0.0452692024409771,-0.060848262161016464,0.48287591338157654,0.0,13.88888888888889,374,368,4.813601970672607,RoadOption.STRAIGHT,105.82553100585938,79.26878356933594,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.85046200826764,105.59313201904297,89.42027282714844,13.152592926434576,0.7362959624543137,-0.16316585849632365,0.023400663866308236,0.16316585849632365,0.023400663866308236,-0.011112630367279053,0.034156572073698044,0.4937814474105835,0.0,13.88888888888889,374,369,5.15541934967041,RoadOption.STRAIGHT,105.82553100585938,79.26878356933594,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.9004620090127,105.6103286743164,88.76276397705078,13.155945710929664,0.7329431779592248,-0.1504536622959671,0.01968515467148446,0.1504536622959671,0.01968515467148446,0.018393663689494133,0.029506294056773186,0.48574256896972656,0.0,13.88888888888889,375,369,4.497742652893066,RoadOption.STRAIGHT,105.83235168457031,78.26880645751953,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,45.95046200975776,105.62853240966797,88.10515594482422,13.15780564379114,0.73108324509775,-0.13673599197059588,0.01895358432003924,0.13673599197059588,0.01895358432003924,-0.015889810398221016,-0.03428347408771515,0.4864180386066437,0.0,13.88888888888889,376,370,4.839441776275635,RoadOption.STRAIGHT,105.83917236328125,77.26882934570312,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,46.000462010502815,105.64568328857422,87.44745635986328,13.158679719314637,0.7302091695742519,-0.124061389878574,0.01794224889608209,0.124061389878574,0.01794224889608209,-0.015640268102288246,0.0002495422959327698,0.48707661032676697,0.0,13.88888888888889,376,371,5.181193828582764,RoadOption.STRAIGHT,105.83917236328125,77.26882934570312,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,46.05046201124787,105.66044616699219,86.78966522216797,13.159863589687935,0.7290252992009538,-0.11378518947918016,0.015867779564965545,0.11378518947918016,0.015867779564965545,0.0021982621401548386,0.017838530242443085,0.4859945476055145,0.0,13.88888888888889,377,371,4.523263454437256,RoadOption.STRAIGHT,105.84599304199219,76.26885223388672,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,46.10046201199293,105.6748046875,86.13180541992188,13.160745542499402,0.7281433463894871,-0.10391417940002201,0.01420916283806406,0.10391417940002201,0.01420916283806406,-7.015369919827208e-05,-0.0022684158393531106,0.48582765460014343,0.0,13.88888888888889,378,372,4.864999771118164,RoadOption.STRAIGHT,105.85281372070312,75.26887512207031,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,46.15046201273799,105.68893432617188,85.47388458251953,13.161695213705196,0.7271936751836936,-0.09427246211158463,0.01366894061094115,0.09427246211158463,0.01366894061094115,-0.013302711769938469,-0.013232558070740197,0.48517659306526184,0.0,13.88888888888889,378,373,5.206741809844971,RoadOption.STRAIGHT,105.85281372070312,75.26887512207031,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,46.20046201348305,105.70172882080078,84.81592559814453,13.161686596889187,0.7272022919997028,-0.08596574448468888,0.012221379400429555,0.08596574448468888,0.012221379400429555,-0.0017915333155542612,0.011511178454384208,0.4863317012786865,0.0,13.88888888888889,379,373,4.548669815063477,RoadOption.STRAIGHT,105.85963439941406,74.2688980102539,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,46.250462014228106,105.713623046875,84.15792846679688,13.162291511219943,0.7265973776689467,-0.0785599081492854,0.011060108007100666,0.0785599081492854,0.011060108007100666,-0.0016197438817471266,0.00017178943380713463,0.48523253202438354,0.0,13.88888888888889,380,374,4.890425682067871,RoadOption.STRAIGHT,105.866455078125,73.2689208984375,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
lqr,ground_truth,s_curve,700.0,0.05,0.1,1.0,46.300462014973164,105.72527313232422,83.49992370605469,13.162525714581106,0.7263631743077834,-0.0713982587953086,0.010099239485798606,0.0713982587953086,0.010099239485798606,-0.003845545230433345,-0.0022258013486862183,0.4855368733406067,0.0,13.88888888888889,380,375,5.232213497161865,RoadOption.STRAIGHT,105.866455078125,73.2689208984375,-7.84716127842279,4.0,0.8,6.0,0.5,2.5,0.6,0.01,0.06,0.6,0.2,0.72,0.005,0.38,0.22,0.01,0.14
